gate	grp	entero_mean	entero_median	log_entero_mean	n
anaerobic	case	1.158636248972884	0.077005	-1.2889890957560068	4868
anaerobic	control	0.6706240066976342	0.02384	-1.624930006119342	9257
oxidized	case	13.566103420038536	5.059645	0.39086879955864845	1038
oxidized	control	10.746199510337323	3.74832	0.2444052829493282	919
